Fecha de cobro,Estado,Monto a cobrar
2026-08-05,Confirmado,310598.96
2026-08-05,Confirmado,372718.74
2026-08-05,Confirmado,265023.46
2026-08-05,Confirmado,369568.75
2026-08-05,Confirmado,310518.95
2026-08-05,Confirmado,181705.53
2026-08-05,Confirmado,1366635.41
2026-07-22,Confirmado,186557.39
2026-07-22,Confirmado,109203.73
2026-06-22,Confirmado,20000000.0
2026-06-13,Confirmado,20000000.0
2026-07-21,Confirmado,41837253.12
2026-07-21,Confirmado,8000000.0
2026-07-21,Confirmado,21000000.0
2026-07-21,Confirmado,21000000.0
2026-07-17,Confirmado,1308.24
2026-07-17,Confirmado,374027.0
2026-07-14,Confirmado,20.0
2026-07-14,Confirmado,80.28
2026-07-14,Confirmado,579.69
2026-07-14,Confirmado,159420.31
2026-07-14,Confirmado,20000000.0
2026-07-14,Confirmado,20000000.0
2026-07-13,Confirmado,704.12
2026-07-03,Confirmado,307269.84
2026-07-03,Confirmado,730.16
2026-07-13,Confirmado,255603.61
2026-07-13,Confirmado,307973.96
2026-07-13,Confirmado,309082.67
2026-07-10,Confirmado,310598.96
2026-07-10,Confirmado,352378.49
2026-07-10,Confirmado,223631.25
2026-07-10,Confirmado,265023.46
2026-07-10,Confirmado,372718.75
2026-07-10,Confirmado,369568.74
2026-07-10,Confirmado,372718.74
2026-07-09,Confirmado,369568.74
2026-07-09,Confirmado,434838.54
2026-07-13,Confirmado,18704.66
2026-07-09,Confirmado,585384.75
2026-07-08,Confirmado,248479.17
2026-07-08,Confirmado,760.42
2026-07-07,Confirmado,124239.58
2026-07-07,Confirmado,952374.31
2026-07-07,Confirmado,186359.37
2026-07-07,Confirmado,172505.82
2026-07-01,Confirmado,3322186.82
2026-06-10,Confirmado,2044685.36
2026-07-07,Confirmado,651848.61
2026-07-07,Confirmado,265023.45
2026-07-06,Confirmado,147827.5
2026-07-07,Confirmado,1562.5
2026-07-07,Borrador,
2026-07-07,Confirmado,247437.5
2026-07-06,Confirmado,123189.6
2026-07-06,Confirmado,123189.58
2026-07-06,Confirmado,416178.6
2026-07-06,Confirmado,310598.96
2026-07-04,Confirmado,372718.75
2026-07-06,Confirmado,397139.28
2026-07-06,Confirmado,410221.71
2026-07-06,Confirmado,424176.3
2027-06-10,Cancelado,2044685.36
2026-07-06,Confirmado,248479.16
2026-07-06,Confirmado,310598.96
2026-07-06,Confirmado,186359.37
2026-07-06,Confirmado,191279.27
2026-07-06,Confirmado,123189.58
2026-07-06,Confirmado,203702.69
2026-07-06,Confirmado,238093.57
2026-07-05,Confirmado,551.58
2026-07-05,Confirmado,107448.42
2026-07-05,Confirmado,523805.86
2026-07-05,Confirmado,343600.84
2026-07-04,Confirmado,1232.29
2026-07-04,Confirmado,214400.0
2026-07-04,Confirmado,307973.95
2026-07-05,Confirmado,372718.75
2026-07-04,Confirmado,666662.01
2026-07-04,Confirmado,132511.73
2026-07-04,Confirmado,246379.17
2026-07-04,Cancelado,687084.59
2026-07-04,Confirmado,283336.04
2026-07-04,Confirmado,380949.72
2026-07-06,Confirmado,712.16
2026-07-06,Confirmado,212287.84
2026-07-03,Confirmado,2100.0
2026-07-03,Confirmado,246379.17
2026-06-05,Confirmado,246379.17
2026-07-06,Confirmado,2100.0
2026-07-06,Confirmado,246379.17
2026-07-03,Confirmado,291525.81
2026-07-03,Confirmado,369568.74
2026-07-03,Confirmado,68528.32
2026-07-03,Confirmado,305988.34
2026-07-03,Confirmado,666662.02
2026-07-03,Confirmado,684261.89
2026-07-03,Confirmado,310518.95
2026-07-03,Confirmado,260.0
2026-07-03,Pendiente de conciliación,348000.0
2026-07-03,Confirmado,177196.06
2026-07-03,Confirmado,372718.75
2026-07-03,Confirmado,2156322.8
2026-07-03,Confirmado,372718.75
2026-07-03,Confirmado,331279.32
2026-06-13,Confirmado,308000.0
2026-06-11,Confirmado,369568.75
2026-06-10,Confirmado,307973.95
2026-06-10,Confirmado,223631.25
2026-06-10,Confirmado,265023.45
2026-06-10,Confirmado,248479.16
2026-06-10,Confirmado,248479.17
2026-06-10,Confirmado,338100.7
2026-06-09,Confirmado,118433.46
2026-06-09,Confirmado,310598.96
2026-06-09,Confirmado,74885.0
2026-06-09,Confirmado,320392.28
2026-06-09,Confirmado,104723.69
2026-06-09,Confirmado,369568.75
2026-06-09,Confirmado,186359.38
2026-06-09,Confirmado,651848.61
2026-06-08,Confirmado,310598.96
2026-06-08,Confirmado,310598.96
2026-06-08,Confirmado,343600.85
2026-06-08,Confirmado,172505.83
2026-06-07,Confirmado,369568.75
2026-06-06,Confirmado,372718.75
2026-06-06,Confirmado,416178.6
2026-06-05,Confirmado,434838.54
2026-06-06,Confirmado,20000000.0
2026-06-04,Cancelado,
2026-06-05,Confirmado,372718.75
2026-06-05,Confirmado,2172.48
2026-06-05,Confirmado,184371.37
2026-06-05,Confirmado,107816.15
2026-06-05,Confirmado,2100.0
2026-06-05,Confirmado,246379.17
2026-06-05,Confirmado,666662.01
2026-06-04,Confirmado,352378.49
2026-06-05,Confirmado,307973.96
2026-06-05,Confirmado,316982.2
2026-06-05,Confirmado,1041.67
2026-06-05,Confirmado,247958.33
2026-06-04,Confirmado,367.72
2026-06-04,Confirmado,107632.28
2026-06-04,Borrador,
2026-06-05,Confirmado,372718.74
2026-06-04,Confirmado,380949.72
2026-06-03,Confirmado,1232.28
2026-06-03,Confirmado,214400.0
2026-06-03,Confirmado,214.4
2026-06-04,Confirmado,130.0
2026-06-04,Confirmado,260.0
2026-06-04,Confirmado,347740.83
2026-06-04,Confirmado,123478.58
2026-06-04,Confirmado,372718.75
2026-06-04,Confirmado,66503.0
2026-06-04,Confirmado,212531.87
2026-06-04,Confirmado,20965.95
2026-06-04,Confirmado,123189.58
2026-06-03,Confirmado,147827.49
2026-06-03,Confirmado,687084.59
2026-06-03,Confirmado,283336.04
2026-06-03,Confirmado,246379.17
2026-06-03,Confirmado,248479.17
2026-06-03,Confirmado,331279.32
2026-06-03,Confirmado,246379.16
2026-06-03,Confirmado,246379.16
2026-06-03,Confirmado,246379.17
2026-06-03,Confirmado,265023.46
2026-06-03,Confirmado,952374.3
2026-06-03,Confirmado,372718.74
2026-06-03,Confirmado,372718.75
2026-06-03,Confirmado,246379.17
2026-06-03,Confirmado,291525.8
2026-06-03,Confirmado,203702.69
2026-06-03,Confirmado,238093.58
2026-06-03,Confirmado,83638.59
2026-06-03,Confirmado,392485.7
2026-06-03,Confirmado,23875.71
2026-06-03,Confirmado,132511.73
2026-06-03,Confirmado,4509.47
2026-06-03,Confirmado,180410.53
2026-06-03,Confirmado,372718.75
2026-06-01,Confirmado,7725000.0
2026-06-01,Confirmado,20918626.56
2026-04-01,Confirmado,20918626.56
2026-05-22,Confirmado,14169818.4
2026-05-22,Confirmado,7725000.0
2026-05-20,Confirmado,10655480.0
2026-05-19,Confirmado,359.6
2026-05-19,Confirmado,310497.0
2026-05-12,Confirmado,713.57
2026-05-12,Borrador,
2026-05-12,Confirmado,119286.43
2026-05-11,Confirmado,666662.01
2026-05-10,Confirmado,190000.0
2026-05-11,Confirmado,651848.62
2026-05-10,Confirmado,310598.96
2026-05-11,Confirmado,265023.46
2026-05-10,Confirmado,223631.25
2026-05-08,Confirmado,369568.75
2026-05-11,Confirmado,369568.75
2026-05-11,Confirmado,369568.75
2026-05-08,Confirmado,248479.17
2026-05-08,Confirmado,310598.96
2026-05-08,Confirmado,310598.96
2026-05-08,Confirmado,307973.96
2026-05-08,Confirmado,172505.83
2026-05-08,Confirmado,222453.7
2026-05-07,Confirmado,372718.75
2026-05-07,Confirmado,186359.37
2026-05-07,Confirmado,666662.01
2026-05-07,Confirmado,372718.75
2026-05-07,Confirmado,1988.0
2026-05-07,Confirmado,184372.38
2026-05-07,Confirmado,520.84
2026-05-07,Confirmado,248479.16
2026-05-07,Confirmado,248479.17
2026-05-06,Confirmado,147827.5
2026-05-06,Confirmado,183.86
2026-05-06,Confirmado,107816.14
2026-05-06,Confirmado,369568.75
2026-05-06,Confirmado,416178.6
2026-05-06,Confirmado,380949.72
2026-05-07,Confirmado,1232.28
2026-05-06,Confirmado,214400.0
2026-05-06,Confirmado,130.0
2026-05-06,Confirmado,347870.83
2026-05-06,Confirmado,338100.69
2026-05-06,Confirmado,291525.8
2026-05-06,Confirmado,343600.85
2026-05-06,Confirmado,434838.54
2026-05-06,Confirmado,331279.33
2026-05-06,Confirmado,372718.75
2026-05-06,Confirmado,372718.75
2026-05-06,Confirmado,952374.31
2026-05-06,Confirmado,246379.17
2026-05-06,Confirmado,253585.76
2026-05-06,Confirmado,2100.0
2026-05-06,Confirmado,246379.17
2026-05-06,Confirmado,687084.59
2026-05-06,Confirmado,283336.04
2026-05-06,Confirmado,132511.73
2026-05-06,Confirmado,761.0
2026-05-06,Confirmado,124239.58
2026-05-06,Confirmado,795070.38
2026-05-06,Confirmado,246379.17
2026-05-06,Confirmado,123189.58
2026-05-06,Confirmado,186359.37
2026-05-06,Confirmado,372718.75
2026-05-06,Confirmado,238093.57
2026-05-06,Confirmado,203702.69
2026-05-06,Confirmado,1295.0
2026-05-06,Confirmado,181705.54
2026-05-06,Confirmado,372718.75
2026-05-06,Confirmado,246379.17
2026-05-06,Confirmado,265023.46
2026-05-06,Confirmado,370644.0
2026-05-06,Confirmado,406322.36
2026-05-06,Confirmado,311850.48
2026-04-28,Confirmado,15000000.0
2026-04-28,Confirmado,20918626.56
2026-04-24,Confirmado,10000000.0
2026-04-17,Confirmado,200000.0
2026-04-17,Pendiente de conciliación,2000000.0
2026-04-17,Confirmado,799840.79
2026-04-14,Confirmado,1987.0
2026-04-14,Borrador,
2026-04-14,Borrador,
2026-04-14,Confirmado,187013.49
2026-04-14,Calculado,187013.49
2026-04-13,Confirmado,338891.85
2026-04-13,Confirmado,351154.77
2026-04-13,Confirmado,26677.86
2026-04-13,Confirmado,54986.62
2026-04-13,Confirmado,119425.83
2026-04-13,Confirmado,249075.52
2026-04-10,Confirmado,307973.96
2026-04-12,Confirmado,687084.59
2026-04-10,Confirmado,310598.96
2026-04-10,Confirmado,416178.6
2026-04-10,Confirmado,248479.17
2026-04-10,Confirmado,369568.75
2026-04-10,Confirmado,369568.75
2026-04-10,Confirmado,283336.04
2026-04-10,Confirmado,107816.15
2026-04-09,Confirmado,666662.01
2026-04-10,Confirmado,380949.72
2026-04-09,Confirmado,172505.83
2026-04-09,Confirmado,372718.75
2026-04-09,Confirmado,248479.16
2026-04-08,Confirmado,147827.5
2026-04-08,Confirmado,372718.75
2026-04-08,Confirmado,223631.25
2026-04-08,Confirmado,265023.46
2026-04-08,Confirmado,347870.83
2026-04-08,Confirmado,246379.17
2026-04-07,Confirmado,952374.31
2026-04-07,Confirmado,372718.75
2026-04-08,Confirmado,331279.32
2026-04-08,Confirmado,307973.96
2026-04-08,Confirmado,2100.0
2026-04-08,Confirmado,246379.17
2026-04-07,Confirmado,124239.59
2026-04-07,Confirmado,307973.96
2026-04-07,Confirmado,238093.57
2026-04-07,Confirmado,203702.7
2026-04-07,Confirmado,369568.75
2026-04-07,Confirmado,246379.17
2026-04-07,Confirmado,132511.73
2026-04-07,Confirmado,372718.75
2026-04-07,Confirmado,1232.27
2026-04-07,Confirmado,214400.0
2026-04-07,Confirmado,186359.37
2026-04-07,Pendiente de conciliación,182000.0
2026-04-07,Confirmado,434838.54
2026-04-07,Confirmado,291525.81
2026-04-07,Confirmado,310598.96
2026-04-07,Confirmado,310598.95
2026-04-07,Confirmado,123189.58
2026-04-07,Confirmado,372718.75
2026-04-07,Confirmado,265023.45
2026-03-30,Confirmado,20918626.56
2026-03-24,Confirmado,10000000.0
2026-03-13,Confirmado,247266.12
2026-03-11,Confirmado,307973.96
2026-03-11,Confirmado,1232.28
2026-02-24,Confirmado,100000.0
2026-03-09,Confirmado,304790.16
2026-03-09,Confirmado,374209.84
2026-03-10,Confirmado,265023.45
2026-03-10,Confirmado,310598.96
2026-03-10,Confirmado,283336.04
2026-03-10,Confirmado,1124827.91
2026-03-10,Confirmado,416178.6
2026-03-10,Confirmado,156563.42
2026-03-09,Confirmado,310598.96
2026-03-09,Confirmado,203702.69
2026-03-09,Confirmado,10809.88
2026-03-09,Confirmado,172505.83
2026-03-09,Confirmado,248479.16
2026-03-09,Confirmado,369568.74
2026-03-09,Confirmado,297164.08
2026-03-09,Confirmado,405262.93
2026-03-07,Confirmado,186359.37
2026-03-08,Confirmado,369568.74
2026-03-09,Confirmado,372718.75
2026-03-06,Confirmado,186359.38
2026-03-06,Confirmado,372718.75
2026-03-06,Confirmado,952374.3
2026-03-06,Confirmado,372718.75
2026-03-06,Confirmado,151394.88
2026-03-06,Confirmado,848605.12
2026-03-06,Confirmado,380949.72
2026-03-05,Confirmado,369568.74
2026-03-05,Confirmado,147827.5
2026-03-05,Confirmado,291525.8
2026-03-05,Confirmado,666662.01
2026-03-04,Confirmado,123189.58
2026-03-04,Confirmado,265023.46
2026-03-05,Confirmado,2100.0
2026-03-04,Confirmado,214400.0
2026-03-05,Confirmado,214400.0
2026-03-04,Calculado,214.4
2026-03-04,Confirmado,132511.73
2026-03-04,Confirmado,246379.17
2026-03-04,Confirmado,246379.16
2026-03-04,Confirmado,307973.96
2026-03-04,Confirmado,124239.59
2026-03-04,Confirmado,372718.75
2026-03-04,Confirmado,246379.17
2026-03-04,Confirmado,181705.53
2026-03-04,Pendiente de conciliación,795100.0
2026-03-04,Confirmado,331279.33
2026-03-02,Confirmado,20918626.56
2026-03-02,Borrador,
2026-02-24,Confirmado,10000000.0
2026-02-24,Confirmado,100000.0
2026-02-24,Cancelado,667921.6
2026-02-04,Confirmado,208089.31
2026-02-04,Confirmado,300605.82
2026-02-04,Borrador,
2026-02-04,Borrador,
2026-02-04,Confirmado,307909.87
2026-02-04,Borrador,
2026-01-29,Confirmado,20918626.56
2026-01-29,Confirmado,10000000.0
2026-01-29,Borrador,
2026-01-29,Borrador,
2026-02-18,Confirmado,369568.74
2026-02-18,Cancelado,1360654.38
2026-02-12,Confirmado,307973.96
2026-02-11,Confirmado,203702.69
2026-02-11,Confirmado,666662.01
2026-02-10,Confirmado,416178.6
2026-02-10,Confirmado,372718.75
2026-02-10,Confirmado,369568.75
2026-02-10,Confirmado,186359.38
2026-02-09,Confirmado,369568.75
2026-02-09,Confirmado,372718.75
2026-02-09,Confirmado,246379.16
2026-02-09,Confirmado,380949.72
2026-02-09,Confirmado,310598.96
2026-02-09,Confirmado,172505.83
2026-02-09,Confirmado,372718.75
2026-02-09,Confirmado,265023.46
2026-02-06,Confirmado,248479.17
2026-02-06,Confirmado,124239.58
2026-02-05,Confirmado,147827.5
2026-02-05,Confirmado,307973.96
2026-02-05,Confirmado,369568.75
2026-02-05,Confirmado,331279.32
2026-02-04,Confirmado,246379.16
2026-02-04,Confirmado,156751.31
2026-02-04,Confirmado,291525.8
2026-02-04,Confirmado,310598.95
2026-02-04,Confirmado,795070.38
2026-02-04,Confirmado,246379.16
2026-02-04,Confirmado,248479.16
2026-02-13,Confirmado,215632.27
2026-02-09,Confirmado,132511.73
2026-02-04,Confirmado,181705.53
2026-02-11,Confirmado,265023.46
2026-02-11,Borrador,
2026-02-11,Borrador,
2026-02-11,Calculado,666662.01
2026-02-11,Confirmado,313200.0
2026-02-13,Borrador,
2026-02-04,Borrador,
2026-02-04,Borrador,
2026-02-04,Borrador,
2026-02-04,Borrador,
2026-02-04,Borrador,
2026-02-04,Borrador,
2026-02-04,Borrador,
2026-02-04,Borrador,
2026-02-04,Borrador,
2026-02-04,Borrador,
2026-02-05,Borrador,
2026-02-05,Borrador,
2026-02-05,Borrador,
2026-02-05,Borrador,
2026-02-06,Borrador,
2026-02-06,Borrador,
2026-02-09,Borrador,
2026-02-09,Borrador,
2026-02-09,Borrador,
2026-02-09,Borrador,
2026-02-09,Borrador,
2026-02-09,Borrador,
2026-02-09,Borrador,
2026-02-09,Borrador,
2026-02-09,Borrador,
2026-02-09,Borrador,
2026-02-10,Borrador,
2026-02-13,Confirmado,283336.04
2026-02-13,Confirmado,123189.58
2026-02-04,Confirmado,186359.37
2026-01-13,Confirmado,377079.56
2026-01-09,Confirmado,662558.64
2026-01-09,Confirmado,265023.46
2026-01-09,Confirmado,372718.75
2026-01-09,Confirmado,416178.6
2026-01-09,Confirmado,186359.37
2026-01-09,Confirmado,265023.46
2026-01-09,Confirmado,283336.04
2026-01-09,Confirmado,310598.95
2026-01-09,Confirmado,123189.59
2026-01-09,Confirmado,307973.96
2026-01-02,Confirmado,307973.96
2026-01-06,Confirmado,795070.37
2026-01-06,Confirmado,246379.16
2026-01-06,Confirmado,147827.5
2026-01-07,Confirmado,203702.7
2026-01-07,Confirmado,291525.8
2026-01-07,Confirmado,666662.01
2026-01-07,Confirmado,369568.75
2026-01-08,Confirmado,369568.75
2026-01-08,Confirmado,369568.75
2026-01-08,Confirmado,307973.96
2026-01-05,Confirmado,124239.58
2026-01-02,Confirmado,132511.73
2026-01-02,Confirmado,331279.32
2026-01-02,Confirmado,246379.16
2026-01-02,Confirmado,246379.16
2026-01-01,Confirmado,156563.43
2026-01-01,Confirmado,248479.16
2025-12-31,Confirmado,248479.17
2025-12-31,Calculado,249000.0
2025-12-31,Cancelado,248479.17
2025-12-31,Confirmado,291525.8
2025-12-30,Cancelado,
2025-12-30,Confirmado,404160.39
2025-12-30,Confirmado,181705.53
2025-12-30,Confirmado,20918626.56
2025-12-26,Confirmado,10000000.0
2025-11-28,Confirmado,10000000.0
2025-12-24,Borrador,
2025-11-07,Confirmado,147827.5
2025-11-07,Confirmado,331279.32
2025-11-24,Confirmado,10000000.0
2025-12-22,Confirmado,307973.96
2025-12-19,Confirmado,338100.7
2025-12-19,Confirmado,181705.54
2025-12-19,Confirmado,300605.82
2025-12-19,Confirmado,307973.95
2025-12-03,Confirmado,291525.8
2025-12-11,Confirmado,307973.96
2025-12-09,Confirmado,307973.96
2025-12-10,Confirmado,291525.8
2025-12-10,Confirmado,265023.46
2025-12-09,Confirmado,369568.75
2025-12-03,Confirmado,123189.59
2025-12-03,Confirmado,795070.38
2025-12-03,Confirmado,369568.75
2025-12-03,Confirmado,203702.7
2025-12-09,Confirmado,283336.04
2025-12-09,Confirmado,246379.17
2025-12-03,Confirmado,265023.46
2025-12-03,Confirmado,246379.16
2025-12-05,Confirmado,369568.75
2025-12-05,Confirmado,147827.5
2025-12-03,Confirmado,416178.6
2025-12-03,Confirmado,246379.16
2025-12-03,Confirmado,248479.17
2025-12-03,Confirmado,132511.73
2025-12-03,Confirmado,331279.32
2025-12-05,Confirmado,662558.65
2025-11-25,Confirmado,283336.04
2025-11-13,Confirmado,291525.8
2025-11-13,Confirmado,2100.0
2025-11-13,Confirmado,0.73
2025-11-11,Confirmado,265023.46
2025-11-11,Confirmado,246379.17
2025-11-11,Confirmado,265024.0
2025-11-11,Confirmado,307974.0
2025-11-10,Confirmado,369568.75
2025-11-10,Confirmado,416178.59
2025-11-07,Confirmado,203702.69
2025-11-07,Confirmado,147827.5
2025-11-07,Confirmado,331279.32
2025-11-05,Confirmado,369569.0
2025-11-05,Confirmado,123189.58
2025-11-05,Confirmado,307973.23
2025-11-05,Confirmado,246379.17
2025-11-07,Confirmado,369568.75
2025-11-07,Confirmado,246379.17
2025-11-05,Confirmado,246379.17
2025-11-05,Confirmado,369568.75
2025-10-15,Confirmado,257909.72
2025-10-13,Confirmado,369568.75
2025-10-13,Confirmado,307973.95
2025-10-03,Confirmado,246379.17
2025-10-03,Confirmado,369568.75
2025-10-03,Confirmado,307973.95
2025-10-07,Confirmado,283336.04
2025-10-09,Confirmado,369568.75
2025-10-09,Confirmado,123189.58
2025-10-06,Confirmado,147827.5
2025-09-02,Cancelado,500000.0
2025-09-02,Cancelado,613229.76
2025-09-02,Cancelado,254000.0
2025-09-02,Cancelado,250000.0
